,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
1327,11700000,"Vikaspuri Block H, New Delhi - West, Delhi NCR",1150,28.646411,77.0754914,3,2,1,Ready to Move,Resale,1,,1,,Flat,"
                    
                    
                    
                       3bhk builder floor 125sqr in  h block vikaspuri newly renoviated and all quality work done with lift and car parking.
                    
                ",10173.91304
1340,10000000,"Pitampura, New Delhi - West, Delhi NCR",1100,28.6910967,77.1129414,2,2,2,Ready to Move,New Property,,,,,Flat,"
                    
                    
                    
                       This is a duplex house with 3rd and 4th floor with us. One floor has big drawing room and dining area with kitchen, bathroom, store and balcony. Other floor with 2 bedrooms, 1 bathroom and one big balcony.
                    
                ",9090.909091
1346,7000000,"Patel Nagar West, New Delhi - West, Delhi NCR",900,28.652429,77.1643181,2,2,,Ready to Move,Resale,1,Furnished,,,Flat,"
                    
                    
                    
                        This Builder Floor Apartment is located at 2nd floor in a building of total 4 floors. The location has easy access to, Punjab National Bank (0 km ), Kailash Hospital (0 km ), Punjab Technical University (0 km ) and Shadipur Metro Station (0 km ). 
                    
                ",7777.777778
1351,3500000,"Neb Sarai, New Delhi - South, Delhi NCR",600,28.50693703,77.20652771,2,2,1,Ready to Move,Resale,5,Semi-Furnished,0,"IGNOU road, next to Anupam apartments",Flat,"


                                The house is located in the gated Gupta Apartments, adjacent to Anupam Apartments on Neb Sarai road, 100 metres from MB road. It's a well ventilated, airy flat with a homely feeling.Chilled out neighbours. Hassle free neighbourhood with all basic amenities, restaurants, shops, etc within 50 meters radius.The house comes with  -a private terrace-a balcony-2 bathrooms-3 wardrobes-chairs set -one double bed with mattress -1 AC in the Bedroom-geyser-two WC (1 Indian, 1 western)-TV set-Wi-Fi connectivity-Parking-24 hour water supply -24 hour power backup
                            
more

",5833.333333
1355,3200000,"Nawada, New Delhi - West, Delhi NCR",750,28.6271769,77.0396183,2,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
                    
                    
                    
                        It's a 3rd floor Builder Floor Apartment in a building of total 4 floors. Prime facilities are easily accessible from this place with Nawada Public School (0 km ). Other key neighbourhood are Shanti Market (0 km ). 
                    
                ",4266.666667
1356,35000000,"Sarita Vihar New Delhi, Sarita Vihar Pocket B, New Delhi - South, Delhi NCR",3000,28.49681282,77.22854614,5,3,3,Ready to Move,Resale,,Furnished,,Near H Block Market,Flat,"


                                Completely furnished and newly renovated  vaastu compliant duplex flat  with  total carpet area of 2400 sq.ft across 2nd 3rd and 4th floors consisting of 5 bedrooms Drawing Dining lobby Kitchen 3 bathrooms 3 balconies  terrace .The flat is completely renovated with new electricity wiring Branded fixtures  plumbing outdoor Indoor . Entire flooring has premium kajaria tiles with Main  Internal doors of teak wood . All the windows are of UPVC  walls have premium acrylic . All the bathrooms are newly renovated  have vitrified floor tiling  the walls are completely tile cladded .
                            
more

",11666.66667
1358,21000000,"E 122 Second Floor Greater Kailash 1 New Delhi, GK I, New Delhi - South, Delhi NCR",2000,28.52392578,77.21411133,3,3,3,Ready to Move,Resale,,Unfurnished,,Near Greater Kailash Police Station,Flat,"


                                Fully furnished with modern style interiors, this 3BHK residential house strategically located in Greater Kailash 1, New Delhi is up for sale. Since Greater Kailash 1 is one of the popular localities of New Delhi, it is an ideal decision to invest your hard-earned money in this property. So, hurry up and grab this deal right now!!Property SpecificationsThis residential house is carefully designed as per Vaastu rules to promise utmost peace and prosperity to the residents. Perfectly positioned on the 2nd floor of a 4 storeyed building, this residential house receives a good amount of fresh air and natural light throughout the day.Facing the north direction, this residential house features 3 roomy bedrooms, 3 chic bathrooms, 3 well-aligned balconies, a lovely living room, a dining room, and a tastefully designed modular kitchen. Furthermore, this residential house comes with top-quality furniture like wardrobes, dressing tables, beds with mattresses, a sofa, a dining table, a crockery unit, storage cupboards, etc. Of 3 western style bathrooms, 2 bathrooms are attached to the bedrooms while the 3rd bathroom is available for common use. In addition to this, geyser points are appointed in all the bathrooms for hot water supply. Moreover, offering uninterrupted views of the road, all the 3 balconies are attached to the bedrooms.The modular kitchen is well-equipped with covered cabinets, gas connection, chimney, and fridge. Furthermore, flooring of this entire residential house is covered with marble flooring which further gives it a clean and magnificent look.FacilitiesPrime facilities such as open parking space, 24x7 water supply, 100% power backup, security service along with CCTV surveillance are available.Some of the modern amenities such as a park, reserved parking, security, water storage, Vaastu compliant, air-conditioners, waste disposal, internet/Wi-Fi connectivity, DTH television facility, RO water system, piped gas are also available within the premises. ?LocalitySome of the important facilities like schools, hospitals, shopping complexes are located at a short distance of 1 km from this property. Several banks and ATMs are located in proximity from where you can fulfil all your banking needs. All modes of public transport are easily available in this area and there are 3 metro stations that are situated within a distance of 1 km from this property. 
                            
more

",10500
1362,9100000,"Sarita Vihar, New Delhi, Sarita Vihar Pocket F, New Delhi - South, Delhi NCR",1000,28.53418533,77.29219099,2,2,1,Ready to Move,Resale,1,,0,Near to the market.,Flat,"
                    
                    
                    
                       2 bedroom flat for sale with drawing dining kitchen with 2 bathroom one balcony with wood work freehold clear title park facing cornner.
                    
                ",9100
1366,4500000,"Paryavaran Complex, New Delhi - South, Delhi NCR",900,28.516204,77.2029035,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Flat,"
",5000
1369,3750000,"Mehrauli, New Delhi - South, Delhi NCR",800,28.5201861,77.179158,2,2,2,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       freehold property.main Road. 24 Water. Lift.
                    
                ",4687.5
1371,3000000,"176-a., Patparganj, New Delhi - East, Delhi NCR",750,28.61268616,77.29073334,2,2,,Ready to Move,Resale,1,Semi-Furnished,0,Near Mayur vihar phase 1 Metro Station and Ahlcon International School,Flat,"
                    
                    
                    
                       Please WHATSAPP only. Builder Corner Flat, Fully ventilated, West facing , With modular kitchen, With 2 entries ,With open Car Parking , 24 hr Water Supply.
                    
                ",4000
1373,7000000,"Sector 3 Rohini, New Delhi - Rohini, Delhi NCR",700,28.70016479,77.11158752,3,2,1,Ready to Move,Resale,,Unfurnished,,"Jaipur Golden Hospital,  Remal Public School,  Avantika Market,  Rajiv Gandhi Cancer Institute",Flat,"


                                Freehold East facing Property situated on the prime location on Sector 2-3 dividing road. Amenities includes open car parking, Piped Gas, Separate meters for Electricity and water. 2 parks are also situated near the property along with proper market which offers all stuff for basic needs and food shops are also there
                            
more

",10000
1375,22500000,"Laxmi Nagar, New Delhi - East, Delhi NCR",507,28.635968,77.269558,10,6,,Ready to Move,Resale,,Unfurnished,,,Individual House,"
",44378.69822
1376,5000000,"Uttam Nagar, New Delhi - West, Delhi NCR",900,28.6212874,77.0530735,3,2,,Ready to Move,Resale,,Furnished,,,Flat,"
",5555.555556
1382,7000000,"E-75, Lane no.3, Upper Ground Floor, Pandav Nagar, Samaspur Road, Pandav Nagar, New Delhi - East, Delhi NCR",1050,28.6109333,77.27391815,2,2,2,Ready to Move,New Property,,Furnished,,,Flat,"
",6666.666667
1401,7500000,"E2 Harsh Apartment near Peera Garhi Metro Station Paschim Vihar, Paschim Vihar, New Delhi - West, Delhi NCR",940,28.63466644,77.04914856,2,3,1,Ready to Move,Resale,1,Unfurnished,,Near Peeragarhi Metro station,Flat,"


                                This Multistorey Apartment is located at Ground floor in a building of total 3 floors. The Multistorey Apartment construction is more than 10 to 15 years old. Prime facilities are easily accessible from this place with Government Boys Senior Secondary School (0 km ). Other key neighbourhood are Radha Krishan Market (0 km ).
                            
more

",7978.723404
1404,8000000,"Shastri Nagar, New Delhi - West, Delhi NCR",1080,28.67008972,77.18177032,3,2,2,Ready to Move,Resale,,Unfurnished,,indira park e-block shastri nagar,Flat,"
                    
                    
                    
                       L-shape corner flat with additional varandah in the balcony and L shaped two balconies. and lot of space for one more extra room
                    
                ",7407.407407
1406,4200000,"F1, flat no 1, saduram building., Sewak Park, New Delhi - Dwarka, Delhi NCR",930,28.61631584,77.03421021,3,2,2,Ready to Move,Resale,,Semi-Furnished,,near durga mata temple,Flat,"
",4516.129032
1423,5800000,"WZ-49D gali no.6 new delhi 110018, Old Mahavir Nagar, New Delhi - West, Delhi NCR",900,28.63480949,77.04905701,3,2,2,Ready to Move,Resale,1,Semi-Furnished,,Near Janakpuri East metro station,Flat,"


                                Planned with perfection to meet the needs of any family, this 3 BHK builder floor is up for sale in Old Mahavir Nagar, New Delhi. Fulfill your dream by owning this fully furnished builder floor that is located on the 1st floor of a 4 storey building. Property specificationReady to move in, this builder floor is spanning across a super area of 900 sqft and is facing the west direction. The floor specification of this abode incorporates, 3 bedrooms, 2 bathrooms, 2 balconies, a living cum dining area, and a kitchen. All the bedrooms of this builder floor are decked with classy wardrobes for storage, comfy beds and ACs. Offered with an unmatched view of the open space, the charming balcony is individually connected to two of the bedrooms. The perfectly sized bathrooms are fashioned in a western manner, where 1 is attached to the bedroom and other is available for common use. Besides, the bathrooms are also equipped with geysers, thus instant hot water is easily accessible. Cooking food in this modular kitchen is quite comfortable as it is well-configured with fashionable storage cabinets, chimney, platform, and a sink. Also, to store your food, there is a fridge available too. Lastly, vitrified flooring uplifts the overall beauty of this dwelling. FacilitiesYou can safely park your vehicles as 1 covered car reserved parking space is available. Also, round the clock water is supplied, hence you will never face scarcity of water. LocalityOld Mahavir Nagar enjoys easy access to well-developed social and retail amenities. Easy availability of all the means of transports and Janakpuri West Metro Station within 600m, ensures effortless commuting from one place to another. Banks and ATM centers are located within the same range, hence you can easily perform your bank transaction or fulfill your financial needs. The Tilak Nagar Market is located within 1km, hence the residents can easily fulfill their daily needs.
                            
more

",6444.444444
